Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),48,4,2.5,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Basic,3.25,"Đường Ụ Ghe, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,68,4,12,Đông,Đông,4,4,4,Have certificate,Full,9.7,"Hẻm 370 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận 7,60,4,3.5,Bắc,Bắc,3,3,3,Have certificate,Full,5.47,"1135, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,52,4,6,Đông - Nam,Đông - Nam,5,5,4,Have certificate,Basic,5.95,"Đường Lô Tư, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),100,5,5,Tây - Nam,Tây - Nam,3,3,4,Have certificate,Full,7.7,"Đường Số 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),42.4,4.8,6,Nam,Nam,1,1,1,Have certificate,Full,4.9,"Đường Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,18,6,5,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Full,3.3,"Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,94,4.5,8,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,8.7,"Đường Bùi Hữu Diện, Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,64,4,8,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Basic,6.6,"Dự án Song Minh Residence, Đường Thới An 22, Phường Thới An, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,53,4,6,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Basic,8.9,"Hẻm 83, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh"
Chung cư,Quận 10,30,3.5,20,Tây - Nam,Nam,3,2,2,Have certificate,Full,8.8,"Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,52,4,5,Đông - Nam,Đông - Nam,5,7,6,Have certificate,Full,7.5,"148/9, Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,48,4,16,Nam,Nam,5,6,4,Have certificate,Full,7.25,"Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,12,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,7.2,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,64,4,16,Tây,Tây,2,2,3,Have certificate,Full,9,"Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Bình Tân,35,4,6,Tây,Tây,1,2,2,Have certificate,Basic,1.93,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,4.5,8,Bắc,Bắc,4,4,3,Have certificate,Basic,7.2,"Đường 7, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),55,4,5,Bắc,Bắc,5,4,4,Have certificate,Full,9.3,"Đường 17, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 7,60,4,8,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,8.6,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Biệt thự,Quận 8,110,4.2,3,Tây - Bắc,Tây - Bắc,3,4,5,Have certificate,Basic,7.7,"Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,64,5,5,Đông - Nam,Đông - Nam,3,3,4,Have certificate,Full,7.8,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Huyện Hóc Môn,176,5,13,Đông - Nam,Đông - Nam,1,3,2,Have certificate,Basic,7,"Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh"
Nhà hẻm,Quận 12,50.1,4.1,6,Đông - Nam,Đông - Nam,3,4,5,Have certificate,Full,4.45,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 7,56.4,5.18,6,Nam,Nam,4,5,4,Have certificate,Full,9.3,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,5,6,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Full,7.5,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,10,Tây,Tây,3,4,4,Have certificate,Full,9.8,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,80,4,6,Bắc,Bắc,3,5,5,Have certificate,Full,6.8,"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),99.4,30,5,Đông - Nam,Đông - Nam,1,2,2,Have certificate,Basic,4.7,"Đường Tam Châu, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,86,6.4,7,Bắc,Bắc,4,4,5,Have certificate,Full,8.3,"Hẻm 1368, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,60,8,8,Nam,Bắc,4,4,5,Have certificate,Full,5.98,"237/, Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,56,4,3,Tây - Nam,Nam,3,3,2,Have certificate,Full,5.3,"Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,74,4.3,6,Đông - Bắc,Đông - Bắc,4,4,6,Have certificate,Full,8.5,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,68,4,6,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Basic,5.9,"Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,69,4,6,Đông - Bắc,Đông - Bắc,4,5,5,Have certificate,Full,6.2,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận 12,46,4.5,5,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,4.45,"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,50,4,6,Tây - Bắc,Tây - Bắc,4,5,6,Have certificate,Full,9.3,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),67.3,4,8,Đông - Bắc,Đông - Bắc,4,5,6,Have certificate,Basic,8.3,"Đường Dương Đình Hội, Phường Phước Long B, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Tân Phú,32,4,10,Nam,Nam,3,2,2,Have certificate,Full,4.65,"Hẻm 30 Phố Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 8,68,5.5,3,Tây,Tây,2,2,3,Have certificate,Full,5,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh"
Nhà hẻm,Quận 7,40,4,8,Nam,Nam,5,6,7,Have certificate,Full,8.2,"Đường Số 5, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,64.6,4,4,Bắc,Bắc,2,2,2,Have certificate,Full,6.5,"Đường Số 10, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,71,5.5,5,Đông - Nam,Đông - Nam,5,4,5,Have certificate,Full,7.35,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận 6,54,4,4,Bắc,Bắc,2,2,2,Have certificate,Basic,5,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,12,20,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,6.75,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,70,8,8,Bắc,Bắc,4,4,5,Have certificate,Full,8.6,"90, Đường Dương Cát Lợi, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Biệt thự,Quận Bình Thạnh,126.6,7,1.3,Đông - Nam,Đông - Nam,2,8,8,Have certificate,Basic,7.7,"434/8A4, Đường Bình Quới, Phường 28, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 12,52.7,3.6,5,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Basic,3.45,"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,54,4,4,Đông,Đông,3,4,4,Have certificate,Full,4.55,"1/ 113, Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),75,5,2.5,Tây,Tây,2,2,1,Have certificate,Basic,3.7,"Đường 12, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),93.7,4,6,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,7.7,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,72,4,12,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Full,6.6,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 8,29.7,50,2,Bắc,Bắc,2,4,3,Have certificate,Basic,4.5,"Đường Ưu Long, Phường 11, Quận 8, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,66,5,5,Đông,Đông,2,2,2,Have certificate,Full,3.3,"Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,73,4.1,12,Bắc,Bắc,3,4,3,Have certificate,Full,8.95,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,70,4,6,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Basic,6.3,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,44,5,5,Tây,Tây,2,2,2,Have certificate,Basic,2.35,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,64,4,6,Nam,Nam,5,4,5,Have certificate,Full,6.45,"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,68,5,5,Nam,Nam,3,4,3,Have certificate,Full,5.85,"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Phú Nhuận,79,3.5,2.5,Tây,Tây,2,4,2,Have certificate,Basic,9.5,"125, Đường Nguyễn Công Hoan, Phường 7, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,56,5,14,Tây - Nam,Tây - Nam,2,3,3,Have certificate,Full,7.6,"229, Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận 7,52,4.3,3,Bắc,Bắc,3,5,5,Have certificate,Basic,4.9,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh"
Chung cư,Quận 10,30,6,6,Đông - Bắc,Đông - Bắc,3,3,2,Have certificate,Basic,5,"312/3, Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,60,5,5,Nam,Nam,2,2,2,Have certificate,Basic,2.75,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,39,4.3,5,Đông - Nam,Đông - Nam,4,4,4,Have certificate,Full,6.9,"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,47,4.2,4,Đông,Đông,2,2,2,Have certificate,Basic,4.15,"650/1A Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),82,6,6,Đông - Bắc,Đông - Bắc,3,4,6,Have certificate,Basic,6.5,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,58,8,4,Đông - Nam,Đông - Nam,3,2,2,Have certificate,Full,3.7,"Đường Bình Long, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,83.6,5,7,Tây - Nam,Tây - Nam,3,4,5,Have certificate,Full,8.29,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,68,4,4,Bắc,Bắc,2,4,2,Have certificate,Full,5.3,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,72,4,6,Bắc,Bắc,3,4,4,Have certificate,Basic,4.4,"Đường 10, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,76,4,8,Tây,Tây,4,6,6,Have certificate,Full,8.6,"473, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,44,5,5,Tây,Tây,2,2,2,Have certificate,Basic,2.35,"Đường Nguyễn Triệu Luật, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận Tân Bình,23,4.9,3,Tây - Bắc,Tây - Bắc,2,1,2,Have certificate,Full,3.68,"Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),62,5,14,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Full,7.8,"41/1D, Đường 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 12,37.4,5,5,Đông,Đông,2,2,2,Have certificate,Full,1.65,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,20,5,3,Đông - Bắc,Đông - Bắc,1,1,2,Have certificate,Full,2.05,"Đường Số 27, Phường 6, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),128,5,4,Tây - Nam,Tây - Nam,1,7,7,Have certificate,Basic,8.1,"Đường Số 7, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 12,28,4,4,Đông,Đông,3,3,3,Have certificate,Full,1.72,"Đường Nguyễn Thị Căn, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,64,10,10,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.5,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,58,42,3,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,4.5,"Hẻm 74, Đường Tân Kỳ Tân Quý, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận 12,51.3,4,60,Tây - Bắc,Tây - Bắc,3,3,3,Have certificate,Full,3.68,"Đường Quốc lộ 1A, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,64.8,3.6,2.5,Nam,Nam,3,3,3,Have certificate,Basic,6.2,"Đường Số 77, Phường Tân Quy, Quận 7, Hồ Chí Minh"
