Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá
Nhà hẻm,Huyện Cần Giờ,325,6,4,2.43
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),116,9,1,4.47
Chung cư,Huyện Cần Giờ,145,8,2,0.76
Chung cư,Quận Phú Nhuận,107,7,2,5.23
Nhà hẻm,Huyện Bình Chánh,271,9,6,2.84
Chung cư,Quận 4,509,4,1,4.97
Nhà mặt tiền,Quận Tân Phú,186,4,6,17.87
Biệt thự,Quận 8,411,1,3,35.03
Nhà hẻm,Quận Tân Phú,62,2,1,1.1
Biệt thự,Quận Gò Vấp,57,2,1,4.09
Nhà hẻm,Quận 7,424,6,3,14.81
Chung cư,Quận Thủ Đức (TP. Thủ Đức),485,1,2,5.51
Biệt thự,Huyện Nhà Bè,52,8,2,4.75
Nhà hẻm,Quận 9 (TP. Thủ Đức),210,7,2,4.43
Nhà hẻm,Quận 9 (TP. Thủ Đức),475,6,3,10.36
Biệt thự,Quận Bình Tân,466,1,1,21
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),102,2,5,4.1
Biệt thự,Quận 2 (TP. Thủ Đức),150,2,5,27.65
Biệt thự,Quận 2 (TP. Thủ Đức),170,9,6,42.97
Nhà hẻm,Huyện Củ Chi,124,4,4,0.41
Nhà mặt tiền,Quận Gò Vấp,98,9,3,9.07
Nhà mặt tiền,Quận Gò Vấp,224,4,1,10.37
Biệt thự,Quận Tân Phú,43,9,3,7.42
Nhà mặt tiền,Quận 8,88,8,6,8.1
Nhà mặt tiền,Quận Gò Vấp,275,8,3,25.82
Biệt thự,Quận Tân Bình,144,3,1,17.52
Chung cư,Quận 5,463,4,1,19.11
Nhà mặt tiền,Quận 3,527,3,5,102.73
Chung cư,Huyện Củ Chi,30,7,2,0.07
Biệt thự,Huyện Hóc Môn,462,5,4,21.55
Nhà hẻm,Huyện Bình Chánh,370,5,4,3.33
Nhà hẻm,Quận 2 (TP. Thủ Đức),34,6,2,1.54
Nhà mặt tiền,Quận 11,404,1,2,24.2
Biệt thự,Quận Tân Bình,110,7,6,32
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),344,1,3,6.1
Nhà mặt tiền,Quận Gò Vấp,438,2,4,28.76
Nhà hẻm,Quận 11,76,7,2,4.02
Nhà hẻm,Huyện Bình Chánh,225,9,4,2.11
Nhà hẻm,Quận Bình Tân,247,8,3,9.18
Nhà mặt tiền,Huyện Nhà Bè,366,7,6,22.82
Nhà hẻm,Quận 9 (TP. Thủ Đức),481,5,4,11.67
Nhà mặt tiền,Quận 10,396,8,6,104.3
Nhà mặt tiền,Quận Gò Vấp,199,7,3,16.54
Nhà mặt tiền,Quận Bình Tân,152,1,5,6.94
Nhà hẻm,Quận 8,318,8,2,9.49
Nhà hẻm,Quận 8,76,4,5,2.92
Chung cư,Quận Gò Vấp,200,5,6,8.14
Chung cư,Quận 5,478,4,3,35.45
Nhà hẻm,Quận 12,430,9,2,9.23
Nhà mặt tiền,Quận 7,91,6,1,3.96
Nhà hẻm,Huyện Củ Chi,393,3,6,1.4
Nhà hẻm,Quận 12,518,7,6,16.82
Biệt thự,Quận 2 (TP. Thủ Đức),60,4,5,12.96
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),25,8,2,2.2
Nhà mặt tiền,Quận 10,215,8,2,35.48
Nhà hẻm,Huyện Nhà Bè,121,3,2,2.12
Nhà mặt tiền,Quận 3,511,5,6,143.61
Nhà mặt tiền,Quận Tân Phú,337,5,2,21.35
Chung cư,Quận Phú Nhuận,206,4,1,5.7
Nhà mặt tiền,Huyện Nhà Bè,29,9,1,0.91
Nhà mặt tiền,Quận 10,274,6,4,57.55
Chung cư,Quận 1,478,6,5,68.84
Biệt thự,Quận 7,216,9,1,20.64
Chung cư,Quận 6,56,9,4,2.19
Chung cư,Huyện Cần Giờ,48,9,6,0.39
Nhà hẻm,Quận Phú Nhuận,137,4,3,8.81
Biệt thự,Quận 3,319,1,2,66.8
Nhà mặt tiền,Huyện Bình Chánh,25,3,5,0.4
Chung cư,Quận Bình Thạnh,397,9,4,21.17
Chung cư,Huyện Hóc Môn,418,3,5,3.34
Nhà hẻm,Quận 2 (TP. Thủ Đức),133,9,2,5.94
Biệt thự,Quận 5,199,7,3,90.85
Nhà hẻm,Quận 7,115,7,1,2.34
Nhà hẻm,Quận Bình Tân,52,6,3,1.58
Biệt thự,Quận Phú Nhuận,205,8,1,38.98
Nhà hẻm,Quận Tân Phú,345,8,4,16.5
Biệt thự,Quận Tân Bình,123,4,6,32.63
Biệt thự,Quận 8,272,5,1,21.46
Biệt thự,Huyện Bình Chánh,497,3,2,12.09
Nhà hẻm,Quận Tân Phú,104,4,6,5.19
Nhà hẻm,Quận Tân Bình,477,5,5,30.4
Nhà mặt tiền,Huyện Nhà Bè,515,1,2,12.51
Nhà mặt tiền,Quận 10,388,2,5,67.78
Nhà mặt tiền,Quận 7,89,1,1,2.29
Chung cư,Quận 6,99,3,5,3.25
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),317,9,4,19.47
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),56,3,6,2.9
Biệt thự,Quận 8,433,2,2,37.34
Nhà mặt tiền,Huyện Nhà Bè,423,7,2,17.48
Biệt thự,Quận Bình Thạnh,275,7,5,81.61
Nhà hẻm,Huyện Cần Giờ,495,4,6,4.3
Nhà mặt tiền,Quận 6,502,1,5,29.68
Biệt thự,Huyện Nhà Bè,182,7,4,19.67
Chung cư,Huyện Hóc Môn,470,7,4,4.53
Nhà hẻm,Quận 6,298,5,4,12.88
Nhà mặt tiền,Quận 10,444,5,5,87.34
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),488,8,2,52.22
Chung cư,Quận 1,104,4,4,13.96
Nhà mặt tiền,Quận 6,63,2,3,3.8
Biệt thự,Quận Tân Bình,128,5,3,28.49
Nhà mặt tiền,Huyện Cần Giờ,17,4,4,0.23
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),357,4,5,17.69
Biệt thự,Quận 7,109,1,5,11.66
Chung cư,Quận 12,32,4,1,0.29
Biệt thự,Quận Phú Nhuận,44,4,4,13.1
Nhà hẻm,Huyện Củ Chi,281,7,6,1.1
Nhà hẻm,Quận Phú Nhuận,30,7,4,2.31
Nhà mặt tiền,Quận 10,374,6,4,74.24
Nhà hẻm,Quận 9 (TP. Thủ Đức),456,6,3,11.37
Nhà hẻm,Quận Phú Nhuận,333,4,4,23.71
Nhà mặt tiền,Quận 12,400,2,3,13.73
Chung cư,Quận 4,443,2,5,6.66
Biệt thự,Quận 11,430,6,4,115.18
Biệt thự,Quận Tân Phú,38,8,6,7.12
Chung cư,Quận 8,259,4,2,5.23
Nhà hẻm,Quận 2 (TP. Thủ Đức),308,2,1,7.11
Biệt thự,Quận 8,35,4,3,4.24
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),510,9,6,21.99
Chung cư,Quận Thủ Đức (TP. Thủ Đức),119,1,2,1.41
Nhà mặt tiền,Quận 5,482,3,3,81.79
Biệt thự,Quận 1,524,6,5,408.55
Nhà mặt tiền,Quận 4,258,2,6,10.79
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),536,5,2,18.48
Nhà hẻm,Quận 3,143,1,3,9.01
Nhà mặt tiền,Quận 11,523,9,3,69.21
Nhà mặt tiền,Huyện Cần Giờ,224,4,1,1.8
Nhà mặt tiền,Quận Gò Vấp,237,5,1,10.24
Chung cư,Quận 12,233,5,5,4.87
Chung cư,Quận 6,352,5,2,8.9
Nhà hẻm,Huyện Cần Giờ,338,4,6,2.86
Biệt thự,Huyện Bình Chánh,317,8,6,14.36
Chung cư,Quận Tân Phú,363,4,4,11.62
Chung cư,Quận 10,214,4,6,17.04
Chung cư,Quận 11,352,2,2,10.07
Biệt thự,Quận 5,343,8,5,185.86
Nhà hẻm,Quận 7,169,7,6,7.77
Biệt thự,Quận 2 (TP. Thủ Đức),285,3,1,28.02
Chung cư,Quận Gò Vấp,55,7,3,1.69
Nhà mặt tiền,Huyện Hóc Môn,235,7,4,5.64
Chung cư,Quận Tân Phú,111,9,5,4.17
Nhà hẻm,Quận 11,406,6,2,18.37
Biệt thự,Quận Phú Nhuận,42,2,1,5.49
Chung cư,Huyện Bình Chánh,344,4,2,1.74
Chung cư,Huyện Nhà Bè,232,1,2,2.26
Nhà mặt tiền,Quận 5,255,2,2,35.8
Nhà mặt tiền,Quận Bình Tân,174,3,2,8.18
Chung cư,Quận 10,117,3,6,9.03
Chung cư,Quận 4,282,7,3,5.14
Biệt thự,Quận 2 (TP. Thủ Đức),63,5,3,11.47
Nhà hẻm,Quận 1,15,3,5,2.73
Chung cư,Quận 9 (TP. Thủ Đức),487,8,1,5.54
Nhà mặt tiền,Quận Bình Thạnh,278,3,2,24.09
Nhà hẻm,Quận Tân Bình,48,4,2,2.2
Nhà mặt tiền,Quận Bình Thạnh,529,9,4,66.23
Chung cư,Quận 3,197,3,1,7.5
Biệt thự,Huyện Hóc Môn,146,2,6,6.25
Nhà hẻm,Quận 6,439,7,6,24.19
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),100,9,2,4.26
Nhà mặt tiền,Quận 7,63,6,5,5.63
Chung cư,Quận Bình Thạnh,240,3,1,5.34
Nhà hẻm,Quận 6,69,2,3,2.34
Chung cư,Quận Phú Nhuận,83,3,3,4.19
Biệt thự,Quận 6,13,4,3,1.83
Nhà mặt tiền,Huyện Cần Giờ,239,3,1,1.79
Nhà mặt tiền,Quận 8,308,5,5,23.88
Biệt thự,Quận Gò Vấp,141,8,4,28.32
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),106,7,2,5.33
Chung cư,Quận 12,473,8,6,12.7
Biệt thự,Quận 6,367,2,3,44.27
Nhà hẻm,Huyện Bình Chánh,225,1,6,1.45
Chung cư,Quận 12,96,5,6,2.13
Nhà mặt tiền,Huyện Bình Chánh,432,3,5,6.89
Nhà mặt tiền,Quận 8,247,4,6,17.63
Biệt thự,Quận 2 (TP. Thủ Đức),297,2,3,47.65
Chung cư,Quận 10,32,1,5,1.59
Nhà mặt tiền,Quận 3,124,1,5,18.89
Nhà hẻm,Quận Phú Nhuận,32,8,2,1.97
Nhà hẻm,Quận 2 (TP. Thủ Đức),318,8,3,15.45
Nhà hẻm,Quận Tân Bình,512,9,4,36.9
Biệt thự,Quận 1,35,9,2,21.22
Nhà hẻm,Huyện Cần Giờ,43,6,2,0.28
Chung cư,Quận Tân Phú,444,8,3,13.86
Chung cư,Quận Tân Phú,145,7,2,3.51
Biệt thự,Quận 9 (TP. Thủ Đức),500,4,5,50.03
Nhà hẻm,Quận 9 (TP. Thủ Đức),45,3,3,0.91
Nhà mặt tiền,Quận 1,330,5,1,60.53
Nhà hẻm,Huyện Hóc Môn,506,1,2,2.79
Biệt thự,Quận Bình Tân,266,1,3,20.05
Chung cư,Quận 7,199,5,1,3.19
Biệt thự,Quận 12,237,5,3,21.37
Biệt thự,Quận 1,501,3,5,326.73
Biệt thự,Quận Bình Thạnh,484,9,4,127.66
Nhà hẻm,Quận 11,33,3,2,1.42
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),174,2,1,7.98
Nhà mặt tiền,Quận 8,103,7,6,9
Chung cư,Quận 10,400,5,2,23.88
Nhà hẻm,Huyện Nhà Bè,406,1,2,4.89
Nhà hẻm,Huyện Bình Chánh,134,9,5,1.6
Biệt thự,Huyện Củ Chi,395,1,6,4.07
Nhà mặt tiền,Quận 6,230,4,5,20.6
Biệt thự,Quận 10,146,1,2,27.45
Biệt thự,Quận 2 (TP. Thủ Đức),147,8,5,36.95
Chung cư,Huyện Bình Chánh,191,6,1,0.74
Biệt thự,Quận 2 (TP. Thủ Đức),60,8,2,11.66
Nhà mặt tiền,Quận Bình Thạnh,198,2,1,10.25
Chung cư,Huyện Bình Chánh,303,6,1,1.05
Nhà hẻm,Huyện Cần Giờ,24,3,4,0.16
Nhà hẻm,Quận Phú Nhuận,88,3,4,6.04
Nhà hẻm,Quận 10,265,8,6,35.35
Nhà hẻm,Quận 7,193,5,6,9.18
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),460,2,6,51.06
Nhà hẻm,Huyện Củ Chi,325,8,6,1.56
Nhà hẻm,Quận Bình Thạnh,401,5,2,18.44
Biệt thự,Quận 8,295,2,3,29.2
Nhà hẻm,Quận Tân Bình,339,9,5,24.14
Chung cư,Huyện Cần Giờ,303,8,2,1.45
Nhà hẻm,Quận 5,107,7,1,6.69
Biệt thự,Quận Tân Bình,127,7,6,37.55
Chung cư,Quận 4,135,4,6,2.84
Nhà mặt tiền,Quận Tân Bình,204,6,4,25.31
Chung cư,Quận Tân Phú,458,6,1,8.42
Nhà mặt tiền,Quận 12,539,9,5,29.47
Nhà mặt tiền,Quận 12,304,7,2,11.79
Chung cư,Quận Bình Thạnh,97,6,1,2.37
Nhà mặt tiền,Huyện Nhà Bè,241,4,4,11.51
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),231,8,3,6.74
Biệt thự,Quận Bình Tân,390,3,1,25.35
Nhà mặt tiền,Quận Phú Nhuận,170,7,6,34.29
Nhà hẻm,Quận 3,240,5,5,29.57
Biệt thự,Quận 9 (TP. Thủ Đức),314,3,1,14.98
Nhà hẻm,Quận 9 (TP. Thủ Đức),528,9,3,14.16
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),106,7,3,5.03
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),539,4,5,61.23
Nhà mặt tiền,Quận 4,139,1,2,3.09
Nhà mặt tiền,Huyện Hóc Môn,70,2,6,1.45
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),469,2,5,12.45
Chung cư,Quận 10,539,4,4,39.55
Biệt thự,Quận 7,109,2,3,11.83
Nhà mặt tiền,Quận Tân Bình,342,9,6,59.73
Chung cư,Quận Tân Bình,368,6,2,14.1
