Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá
Chung cư,Quận 10,163,5,4,7715326736
Nhà hẻm,Củ Chi,201,5,4,5817187050
Nhà hẻm,Tân Bình,89,7,2,1936247826
Chung cư,Cần Giờ,199,3,3,4812364731
Chung cư,Tân Phú,72,2,2,995985471
Nhà mặt tiền,Phú Nhuận,162,4,4,6898041231
Nhà mặt tiền,Quận 11,242,2,2,7127646537
Nhà hẻm,Quận 9,64,3,1,616145278
Biệt thự,Bình Thạnh,131,4,1,3149741628
Nhà hẻm,Nhà Bè,217,4,4,6103634718
Biệt thự,Quận 7,124,5,3,3994171736
Chung cư,Quận 1,52,6,2,976458609
Chung cư,Quận 7,144,5,4,5135979993
Biệt thự,Nhà Bè,144,8,3,4512619615
Biệt thự,Tân Bình,144,2,3,3785914206
Chung cư,Quận 2,71,3,3,1324763209
Chung cư,Cần Giờ,53,7,1,473614451
Biệt thự,Bình Chánh,154,4,3,4010001135
Nhà hẻm,Quận 1,219,5,2,8359352537
Nhà hẻm,Quận 10,164,3,2,4496961290
Chung cư,Tân Bình,218,8,4,10073914975
Chung cư,Tân Phú,140,3,4,4376285914
Chung cư,Quận 8,221,8,3,9954365019
Chung cư,Quận 12,183,3,4,5916211106
Chung cư,Bình Chánh,228,4,4,6581208479
Biệt thự,Quận 7,62,2,3,1034747535
Chung cư,Quận 9,131,2,4,3526664450
Chung cư,Tân Bình,157,2,2,3415480272
Nhà mặt tiền,Gò Vấp,177,3,2,4460687003
Nhà hẻm,Gò Vấp,159,4,2,4085384113
Chung cư,Gò Vấp,135,8,1,2787288494
Nhà mặt tiền,Quận 10,149,6,1,3702006074
Nhà hẻm,Thủ Đức,232,2,3,6316756569
Nhà mặt tiền,Quận 3,136,3,4,4954250425
Nhà hẻm,Quận 7,70,8,1,893151034
Biệt thự,Củ Chi,60,4,1,545556783
Chung cư,Bình Chánh,81,7,4,1856029837
Nhà hẻm,Quận 8,211,5,2,6285188792
Chung cư,Cần Giờ,91,7,4,2158902288
Nhà mặt tiền,Tân Bình,237,6,4,11135875293
Nhà mặt tiền,Quận 1,66,3,1,874722896
Nhà hẻm,Quận 11,187,5,4,7721470601
Biệt thự,Quận 10,198,3,3,8027266994
Biệt thự,Bình Chánh,113,8,4,3390946357
Chung cư,Phú Nhuận,166,6,2,6350704527
Chung cư,Nhà Bè,152,8,4,4730124247
Chung cư,Nhà Bè,213,4,2,4457945026
Biệt thự,Quận 2,67,5,4,1849091300
Chung cư,Bình Tân,207,6,3,8321639597
Nhà hẻm,Quận 5,231,2,2,6391479649
Biệt thự,Quận 5,181,2,3,6419056751
Nhà hẻm,Quận 7,134,6,3,4250941407
Nhà hẻm,Nhà Bè,73,2,1,511365634
Biệt thự,Quận 10,192,7,2,9172381624
Nhà mặt tiền,Quận 6,98,8,3,3054547280
Chung cư,Nhà Bè,125,4,3,2473546540
Biệt thự,Bình Thạnh,233,7,2,11001623064
Chung cư,Quận 1,249,4,4,11158810249
Biệt thự,Tân Phú,149,7,2,4621422234
Nhà mặt tiền,Quận 11,104,5,1,2003234571
Chung cư,Phú Nhuận,119,7,2,3831356982
Nhà mặt tiền,Quận 5,112,7,3,4187873410
Biệt thự,Tân Phú,117,5,3,3937976561
Nhà mặt tiền,Tân Bình,242,3,3,7991173134
Nhà mặt tiền,Tân Bình,58,7,2,1129032731
Chung cư,Quận 3,159,3,2,4681838450
Chung cư,Hóc Môn,82,4,4,1515612266
Chung cư,Quận 6,144,4,1,2449138115
Biệt thự,Quận 7,209,4,1,4556026169
Nhà mặt tiền,Phú Nhuận,212,6,3,10038233448
Chung cư,Hóc Môn,116,8,2,2431740151
Nhà hẻm,Tân Bình,155,3,2,3487950980
Biệt thự,Gò Vấp,210,4,4,9700844707
Biệt thự,Quận 4,75,2,3,1407642538
Chung cư,Bình Thạnh,211,7,4,11060013347
Chung cư,Thủ Đức,107,6,3,3101717191
Nhà mặt tiền,Bình Tân,225,5,2,7390811687
Chung cư,Quận 5,220,6,4,11374770678
Nhà mặt tiền,Hóc Môn,217,7,3,7282298221
Chung cư,Bình Thạnh,81,8,2,2252499197
Biệt thự,Củ Chi,150,6,4,5034257330
Chung cư,Quận 3,141,3,4,5243205077
Chung cư,Quận 9,72,8,1,980101638
Nhà mặt tiền,Quận 5,137,4,4,5647518230
Nhà hẻm,Gò Vấp,76,3,2,1142070716
Nhà mặt tiền,Quận 11,156,8,4,8054306317
Nhà mặt tiền,Quận 8,74,5,2,1416305149
Nhà hẻm,Quận 2,122,5,3,3232565629
Nhà mặt tiền,Quận 7,172,3,3,5154944488
Biệt thự,Củ Chi,124,7,3,3737425370
Nhà hẻm,Quận 2,136,3,4,3598215061
Nhà hẻm,Quận 3,226,8,4,12712970340
Chung cư,Quận 6,220,6,3,8355668575
Chung cư,Quận 7,204,5,1,3984177892
Nhà hẻm,Quận 2,167,2,4,4568784983
Biệt thự,Bình Tân,223,6,1,5885674034
Chung cư,Quận 1,139,3,4,5268696634
Nhà hẻm,Nhà Bè,134,8,3,3492231872
Chung cư,Quận 2,135,6,2,3553177515
Biệt thự,Bình Tân,165,7,1,4005536343
Nhà mặt tiền,Quận 10,192,8,2,8199118573
Chung cư,Phú Nhuận,140,5,3,5697452187
Nhà hẻm,Quận 8,117,7,1,1909319577
Nhà hẻm,Củ Chi,60,5,3,812443017
Chung cư,Bình Thạnh,235,3,4,10727838216
Chung cư,Quận 2,212,4,4,7737287699
Nhà mặt tiền,Quận 12,118,4,4,3701541921
Nhà hẻm,Quận 4,238,4,3,7439640321
Nhà hẻm,Tân Bình,190,6,1,3647687835
Biệt thự,Bình Tân,57,7,3,1459499588
Nhà mặt tiền,Thủ Đức,233,2,4,7601004794
Nhà mặt tiền,Quận 6,227,7,1,5579572892
Nhà hẻm,Quận 4,210,3,4,7059639695
Nhà mặt tiền,Quận 11,235,4,2,8807013015
Chung cư,Quận 5,177,2,4,6184181170
Nhà mặt tiền,Bình Chánh,214,8,1,3751831299
Chung cư,Quận 5,245,5,2,10114268783
Chung cư,Gò Vấp,223,5,2,6948501735
Nhà hẻm,Củ Chi,210,4,2,4295660723
Nhà mặt tiền,Cần Giờ,94,5,3,1924819449
Chung cư,Quận 7,211,3,1,3741666433
Nhà mặt tiền,Hóc Môn,218,8,3,7171996592
Biệt thự,Bình Tân,96,4,4,2933585107
Biệt thự,Cần Giờ,244,5,2,7083121750
Nhà mặt tiền,Quận 11,52,5,3,1103499872
Nhà hẻm,Bình Chánh,242,8,1,4295088124
Biệt thự,Hóc Môn,63,7,3,1103258583
Biệt thự,Tân Bình,178,6,4,8305926656
Chung cư,Quận 3,240,7,3,13561326947
Chung cư,Thủ Đức,230,5,3,7982960724
Nhà hẻm,Hóc Môn,197,7,3,5817827274
Nhà mặt tiền,Quận 3,51,4,2,867390306
Nhà hẻm,Thủ Đức,110,5,1,1651042992
Nhà mặt tiền,Gò Vấp,201,7,3,8685387066
Nhà mặt tiền,Bình Thạnh,153,5,1,3420845609
Chung cư,Quận 3,202,3,2,6117712027
Nhà hẻm,Quận 11,220,8,1,5616556453
Chung cư,Quận 12,213,7,1,4963120183
Nhà mặt tiền,Quận 5,230,2,2,7379761745
Nhà hẻm,Nhà Bè,102,4,4,2071855177
Nhà mặt tiền,Quận 9,190,6,4,7297032098
Biệt thự,Quận 6,200,3,3,7257560394
Biệt thự,Quận 12,50,4,3,934850258
Nhà hẻm,Phú Nhuận,112,8,1,2494884940
Biệt thự,Quận 9,70,3,3,1432272107
Biệt thự,Tân Bình,227,5,3,10091217398
Nhà hẻm,Cần Giờ,148,3,4,3299723218
Biệt thự,Quận 12,61,3,1,699867920
Nhà hẻm,Hóc Môn,50,7,3,694933650
Nhà hẻm,Quận 3,138,6,1,3064335615
Nhà hẻm,Quận 1,227,5,2,8093872119
Nhà mặt tiền,Quận 5,228,2,3,8058116259
Nhà hẻm,Quận 5,165,8,1,4491792023
Nhà hẻm,Quận 2,88,7,4,2580443315
Nhà hẻm,Cần Giờ,152,5,4,3777940851
Nhà mặt tiền,Quận 1,133,3,3,4382762799
Nhà mặt tiền,Gò Vấp,249,6,4,11332340158
Chung cư,Tân Bình,121,6,4,4139518346
Chung cư,Bình Tân,246,3,1,4862822034
Nhà mặt tiền,Quận 12,230,7,3,9402548366
Nhà hẻm,Quận 1,99,2,4,2668545782
Chung cư,Quận 11,50,7,2,944568983
Biệt thự,Quận 9,106,6,2,2971706905
Chung cư,Quận 2,207,7,3,8431408490
Biệt thự,Tân Phú,247,5,2,9699745048
Chung cư,Thủ Đức,96,7,4,2882383730
Biệt thự,Quận 5,248,7,2,11839582175
Biệt thự,Quận 2,183,2,2,4779186203
Biệt thự,Quận 2,141,4,3,4374561513
Biệt thự,Bình Chánh,214,5,1,4004858190
Chung cư,Thủ Đức,223,3,4,7921923088
Nhà hẻm,Tân Phú,195,4,1,3628496015
Nhà hẻm,Quận 12,170,4,2,4348357262
Nhà hẻm,Bình Chánh,104,7,4,2628214043
Nhà mặt tiền,Quận 5,213,7,2,9245590882
Nhà mặt tiền,Củ Chi,124,4,1,1565166232
Nhà mặt tiền,Hóc Môn,205,5,1,3515655457
Nhà mặt tiền,Tân Bình,198,7,3,8705738787
Chung cư,Củ Chi,69,4,1,634921324
Chung cư,Quận 7,215,7,4,9139555593
Nhà hẻm,Quận 6,121,2,2,2086538670
Nhà hẻm,Nhà Bè,115,5,1,1336916870
Nhà hẻm,Quận 12,97,4,4,2431277226
Nhà mặt tiền,Nhà Bè,143,6,4,4086724031
Nhà mặt tiền,Quận 4,105,3,3,2585734519
Chung cư,Cần Giờ,118,6,1,1679104457
Chung cư,Tân Bình,220,8,3,9743044410
Nhà mặt tiền,Củ Chi,216,2,4,5065110336
Chung cư,Quận 5,221,5,1,5846504665
Nhà hẻm,Quận 4,81,6,3,2041983792
Nhà mặt tiền,Quận 11,184,5,4,9161198023
Chung cư,Gò Vấp,231,3,2,5969248313
Chung cư,Tân Phú,161,3,4,4899653186
Biệt thự,Quận 11,127,2,4,4495242969
Chung cư,Hóc Môn,101,3,4,2060817162
Chung cư,Quận 10,200,6,4,9957168427
Biệt thự,Cần Giờ,84,8,4,2182334331
Nhà mặt tiền,Quận 8,139,3,4,4304901591
Chung cư,Quận 1,188,3,1,4079368587
Nhà hẻm,Cần Giờ,103,7,2,1887438218
Nhà hẻm,Bình Chánh,134,3,3,2627824223
Nhà hẻm,Bình Tân,212,3,2,5245258651
Chung cư,Bình Tân,245,3,1,4652615043
Chung cư,Quận 11,121,7,2,3900160985
Biệt thự,Quận 10,75,2,1,1041461703
Nhà hẻm,Tân Bình,108,3,4,2610521920
Nhà mặt tiền,Cần Giờ,204,8,1,4307480142
Nhà mặt tiền,Quận 10,228,3,1,5512995415
Nhà mặt tiền,Bình Chánh,63,3,1,500281151
Chung cư,Phú Nhuận,149,3,3,5036954472
Nhà hẻm,Quận 6,112,8,4,3767725600
Nhà mặt tiền,Quận 7,194,6,4,8174047133
Chung cư,Củ Chi,176,3,2,3308875685
Nhà mặt tiền,Quận 12,244,2,2,6258422112
Biệt thự,Bình Thạnh,144,4,1,3541969417
Biệt thự,Quận 9,249,4,2,8839998555
Nhà hẻm,Quận 4,132,6,3,3749295863
Nhà hẻm,Hóc Môn,229,4,2,5059344187
Biệt thự,Bình Thạnh,108,2,3,3251631464
Biệt thự,Quận 4,116,7,4,4411942913
Biệt thự,Quận 7,134,5,2,3987378302
Nhà mặt tiền,Bình Thạnh,111,5,3,4276861748
Biệt thự,Tân Phú,237,5,3,10500334305
Nhà mặt tiền,Quận 4,120,3,1,1855319044
Nhà hẻm,Quận 5,61,3,1,708097611
Nhà hẻm,Quận 11,125,2,4,3716436167
Biệt thự,Củ Chi,141,5,2,3342623601
Chung cư,Quận 5,125,7,4,4901158450
Nhà mặt tiền,Bình Chánh,207,7,2,5443392410
Nhà hẻm,Hóc Môn,247,8,4,8674731971
Biệt thự,Nhà Bè,50,8,4,893055307
Nhà hẻm,Củ Chi,106,4,1,1135382233
Biệt thự,Quận 8,134,3,3,4144319060
Biệt thự,Quận 10,166,7,3,9062345121
Biệt thự,Bình Chánh,152,6,3,4317442498
Nhà hẻm,Tân Phú,177,8,3,6097243322
Nhà hẻm,Cần Giờ,106,2,1,889986206
Nhà mặt tiền,Bình Tân,188,6,2,6665233728
Nhà hẻm,Bình Thạnh,249,8,1,7739078733
Chung cư,Quận 6,210,4,1,4154674901
Chung cư,Quận 8,240,7,3,9519452253
Chung cư,Bình Chánh,96,6,2,1784931701
Nhà hẻm,Quận 8,188,6,1,3811461798
Chung cư,Quận 11,175,3,3,5951565908
Nhà mặt tiền,Quận 3,80,7,4,3020505390
Biệt thự,Quận 10,61,8,2,1585483568
Biệt thự,Tân Bình,128,6,2,3866574629
Nhà hẻm,Hóc Môn,58,4,2,618964031
Nhà hẻm,Quận 12,236,4,3,7948834265
Nhà hẻm,Gò Vấp,164,2,3,4073964211
Nhà hẻm,Tân Bình,154,6,3,4761199978
Nhà mặt tiền,Bình Tân,202,8,4,9246863593
Nhà hẻm,Quận 5,144,4,4,5216659726
Biệt thự,Nhà Bè,157,2,2,2760009500
Nhà hẻm,Củ Chi,68,6,4,1287580553
Chung cư,Quận 10,128,5,3,4979274626
Chung cư,Quận 12,248,3,1,4695694844
Nhà hẻm,Quận 12,184,2,3,4360241697
Chung cư,Gò Vấp,229,4,3,7641646165
Nhà mặt tiền,Quận 1,164,4,1,3943659798
Chung cư,Nhà Bè,200,6,2,4849707274
Nhà mặt tiền,Quận 12,224,8,2,8204555104
Nhà mặt tiền,Quận 7,173,6,3,6552338088
Nhà hẻm,Quận 7,232,2,2,5160509130
Nhà hẻm,Quận 8,163,3,1,2586423872
Nhà mặt tiền,Quận 4,108,4,1,1729833489
Nhà hẻm,Hóc Môn,57,2,4,644293731
Chung cư,Quận 10,155,3,4,5789292200
Biệt thự,Hóc Môn,221,4,4,6857194197
Nhà mặt tiền,Thủ Đức,149,6,2,4741217255
Chung cư,Quận 5,141,7,3,5484559464
Biệt thự,Thủ Đức,70,3,4,1697788509
Nhà mặt tiền,Quận 1,93,3,4,2819326402
Chung cư,Tân Bình,181,8,4,6994309408
Nhà hẻm,Gò Vấp,231,7,2,7510004573
Nhà hẻm,Tân Bình,75,7,2,1485507664
Chung cư,Bình Tân,84,6,2,1703632501
Nhà hẻm,Quận 11,194,2,3,5635503965
Biệt thự,Thủ Đức,238,3,4,9546432167
Nhà hẻm,Tân Bình,57,3,2,742453511
Chung cư,Quận 12,141,3,4,4320328856
Biệt thự,Quận 8,217,3,2,6607956142
Nhà hẻm,Quận 12,86,2,1,857484758
Nhà hẻm,Quận 4,241,2,4,7295879617
Nhà hẻm,Bình Thạnh,182,6,1,4637810114
Nhà mặt tiền,Quận 1,80,6,3,2390029129
Nhà mặt tiền,Quận 8,207,4,3,7772156873
Biệt thự,Tân Phú,61,3,1,698138059
Biệt thự,Quận 10,167,3,3,6680656134
Nhà hẻm,Tân Bình,111,6,4,3619431387
Biệt thự,Quận 11,91,7,3,3834430391
Biệt thự,Bình Chánh,54,7,1,547887132
Chung cư,Hóc Môn,134,3,4,3069999477
Chung cư,Nhà Bè,99,8,2,1819917672
Chung cư,Quận 3,175,6,2,6778120950
Biệt thự,Quận 5,75,4,1,1271802346
Biệt thự,Tân Bình,210,3,1,4537463372
Nhà hẻm,Quận 4,178,8,3,6299264027
Biệt thự,Cần Giờ,72,4,2,1050997243
Nhà mặt tiền,Thủ Đức,210,5,1,5062203538
Nhà hẻm,Quận 10,171,3,1,3422194766
Biệt thự,Tân Bình,78,8,2,1984214575
Biệt thự,Quận 7,139,5,4,5768022880
Chung cư,Quận 9,82,7,4,2453013891
Chung cư,Tân Bình,151,2,2,2902030475
Biệt thự,Cần Giờ,58,8,1,663087195
Biệt thự,Quận 10,126,3,4,5127940734
Biệt thự,Bình Chánh,180,2,4,4448180734
Biệt thự,Quận 1,109,7,3,4510668155
Nhà mặt tiền,Quận 2,114,7,4,3833733826
Biệt thự,Gò Vấp,98,8,2,2698099371
Nhà hẻm,Quận 4,235,7,3,9343412757
Nhà hẻm,Quận 2,77,2,2,1099313513
Biệt thự,Bình Tân,218,3,4,9435684304
Chung cư,Tân Bình,149,2,4,4209455647
Nhà hẻm,Quận 6,151,6,3,4417775865
Nhà hẻm,Thủ Đức,104,5,4,2818200714
Chung cư,Bình Tân,60,6,3,1219762909
Biệt thự,Gò Vấp,125,5,2,3617234848
Biệt thự,Quận 11,73,6,3,2364633448
Nhà hẻm,Tân Phú,138,7,4,4401077426
Biệt thự,Quận 6,235,3,3,8995272494
Nhà mặt tiền,Quận 12,226,6,4,10330767711
Chung cư,Bình Tân,143,8,1,2854353434
Biệt thự,Quận 11,71,2,2,1373633843
Chung cư,Quận 7,93,3,3,2070289743
Chung cư,Quận 3,91,3,2,2074908431
Nhà mặt tiền,Cần Giờ,239,7,4,8000356215
Nhà mặt tiền,Quận 12,236,4,3,9591107920
Nhà mặt tiền,Quận 10,161,4,3,6406883123
Biệt thự,Quận 5,76,5,1,1405868824
Biệt thự,Quận 2,106,6,1,1984635831
Chung cư,Tân Phú,137,5,2,3718401813
Chung cư,Bình Thạnh,74,3,4,1920177779
Nhà mặt tiền,Hóc Môn,121,4,4,2930584965
Nhà mặt tiền,Quận 7,65,8,4,1595835103
Chung cư,Quận 11,150,4,4,6059730262
Biệt thự,Quận 9,226,4,2,8004305571
Chung cư,Quận 10,200,2,2,5728073200
Biệt thự,Quận 8,93,3,1,1373860112
Biệt thự,Tân Bình,244,5,2,9152719312
Nhà hẻm,Phú Nhuận,210,8,4,10433078779
Nhà mặt tiền,Thủ Đức,172,8,2,5732070548
Nhà hẻm,Hóc Môn,97,2,1,783952812
Biệt thự,Tân Phú,66,4,1,888957319
Nhà mặt tiền,Tân Bình,202,4,3,7251006137
Nhà mặt tiền,Nhà Bè,102,6,3,2466366000
Biệt thự,Quận 4,236,8,3,11209106188
Nhà mặt tiền,Thủ Đức,126,6,2,3374192453
Biệt thự,Quận 7,82,3,3,1855270172
Chung cư,Quận 8,68,4,2,1182348058
Chung cư,Bình Thạnh,64,6,2,1398631969
Chung cư,Quận 1,111,6,1,2432176580
Chung cư,Quận 11,97,8,2,2863566103
Nhà mặt tiền,Quận 8,200,6,3,8433652839
Chung cư,Quận 8,86,3,1,1002371001
Nhà mặt tiền,Quận 5,114,3,4,4150814457
Biệt thự,Thủ Đức,236,4,1,5753455966
Chung cư,Củ Chi,183,4,3,4432214923
Nhà hẻm,Quận 11,119,2,1,1686856457
Nhà mặt tiền,Quận 12,215,2,4,6852400929
Nhà mặt tiền,Tân Phú,95,3,2,1897829215
Chung cư,Quận 11,214,4,3,9236668299
Nhà hẻm,Quận 3,69,7,4,2116611992
Nhà hẻm,Thủ Đức,72,5,1,910859714
Nhà hẻm,Phú Nhuận,243,8,2,10216511527
Nhà mặt tiền,Quận 12,92,2,4,1932325847
Nhà hẻm,Bình Thạnh,109,5,3,3541481020
Nhà hẻm,Phú Nhuận,149,8,2,4998822965
Biệt thự,Bình Chánh,71,5,2,1093351199
Nhà hẻm,Cần Giờ,119,6,1,1528618035
Nhà mặt tiền,Bình Tân,132,7,4,4939200675
Biệt thự,Bình Thạnh,190,7,4,10737532887
Biệt thự,Quận 8,224,3,2,7093465288
Chung cư,Tân Phú,175,2,1,2518425523
Nhà mặt tiền,Phú Nhuận,186,5,1,4722490294
Nhà mặt tiền,Bình Chánh,160,4,2,3107700665
Biệt thự,Hóc Môn,203,8,2,6177697896
Nhà hẻm,Bình Thạnh,207,8,1,5922064148
Chung cư,Cần Giờ,90,6,3,1805774225
Nhà mặt tiền,Quận 3,93,5,3,3052778131
Chung cư,Gò Vấp,107,4,4,3045813309
Chung cư,Quận 4,135,5,3,4064240562
Chung cư,Gò Vấp,54,7,4,1139830133
Nhà mặt tiền,Quận 10,64,8,3,1797764751
Nhà hẻm,Quận 7,206,7,3,7941021592
Nhà hẻm,Quận 10,91,4,4,2828736589
Nhà hẻm,Quận 8,190,2,1,2646797654
Nhà hẻm,Quận 6,231,8,2,7281922090
Nhà mặt tiền,Quận 5,207,8,2,9443230210
Nhà hẻm,Quận 12,93,4,3,2122407070
Chung cư,Quận 9,76,4,2,1315115251
Chung cư,Quận 12,154,8,4,5678845701
Nhà mặt tiền,Bình Thạnh,203,7,2,9337050670
Nhà mặt tiền,Củ Chi,55,5,1,466295406
Nhà hẻm,Quận 7,157,7,2,4336451923
Nhà hẻm,Quận 8,123,7,3,3295924947
Chung cư,Tân Bình,195,2,2,4336360827
Nhà hẻm,Hóc Môn,130,7,1,1625001224
Chung cư,Cần Giờ,128,5,4,3272921306
Nhà mặt tiền,Thủ Đức,210,8,3,9346939058
Chung cư,Quận 2,249,2,1,4379910037
Biệt thự,Củ Chi,122,4,4,3144940689
Nhà hẻm,Nhà Bè,66,8,1,608673332
Chung cư,Quận 3,242,7,2,9762349686
Biệt thự,Quận 3,133,8,3,6636798470
Nhà hẻm,Thủ Đức,181,7,2,5500072481
Chung cư,Bình Tân,223,3,4,7983568565
Nhà mặt tiền,Quận 2,144,3,2,3320138391
Nhà mặt tiền,Gò Vấp,164,4,3,5866457919
Nhà mặt tiền,Quận 4,186,3,2,4769876392
Nhà hẻm,Quận 3,215,5,1,5266168379
Nhà mặt tiền,Quận 9,144,7,3,5141184384
Biệt thự,Tân Phú,121,6,2,3880370450
Nhà hẻm,Nhà Bè,62,7,4,1010652086
Nhà hẻm,Thủ Đức,104,4,1,1450138987
Nhà mặt tiền,Quận 12,204,8,4,9288190696
Nhà hẻm,Quận 10,58,7,4,1569716112
Biệt thự,Quận 7,218,7,3,10249347973
Nhà hẻm,Bình Chánh,149,3,4,3197888869
Chung cư,Quận 6,88,5,3,2130951605
Chung cư,Quận 12,61,6,1,761836911
Nhà mặt tiền,Quận 8,178,6,2,5695431292
Nhà hẻm,Bình Chánh,150,5,4,3645423292
Nhà hẻm,Bình Chánh,141,5,3,3306487866
Nhà mặt tiền,Quận 8,173,5,2,5530483441
Nhà hẻm,Tân Phú,172,4,3,5021023033
Chung cư,Quận 2,134,8,3,4804268851
Biệt thự,Quận 5,184,2,3,6848846311
Chung cư,Thủ Đức,112,6,4,3679872468
Chung cư,Quận 11,133,6,4,5834361494
Nhà hẻm,Hóc Môn,109,3,1,1121392037
Chung cư,Cần Giờ,112,4,4,2653334767
Biệt thự,Quận 9,71,2,2,1115114511
Biệt thự,Hóc Môn,133,2,1,1508370018
Nhà mặt tiền,Quận 12,173,8,1,4123142325
Nhà hẻm,Quận 7,89,2,4,1617951295
Biệt thự,Củ Chi,90,2,4,1600751388
Nhà mặt tiền,Quận 9,235,4,1,5123248930
Nhà hẻm,Cần Giờ,231,5,3,6508090802
Nhà mặt tiền,Quận 6,98,2,2,1648826116
Chung cư,Quận 12,221,6,4,10196950833
Chung cư,Quận 10,129,4,4,4958938677
Chung cư,Thủ Đức,112,5,2,2598294823
Biệt thự,Quận 9,160,4,4,6489966360
Nhà mặt tiền,Bình Thạnh,183,8,1,5342536859
Biệt thự,Quận 2,207,6,1,5267053883
Nhà mặt tiền,Quận 12,50,4,2,682991560
Biệt thự,Quận 2,214,8,3,9333610062
Nhà hẻm,Cần Giờ,168,3,2,2867154963
Biệt thự,Bình Chánh,233,5,3,7541328635
Nhà hẻm,Bình Chánh,65,6,4,1112516505
Nhà hẻm,Nhà Bè,127,6,2,2205583464
