Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),55,4,5,9.3,,,,4,Have certificate,Full,,"Đường 17, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Bắc,Bắc
Nhà hẻm,Quận 7,60,4,4,8.6,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Biệt thự,Quận 8,110,4,3,7.7,,,,5,Have certificate,Basic,,"Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh",4.2,3,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Gò Vấp,64,3,3,7.8,,,,4,Have certificate,Full,,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",5,5,Đông - Nam,Đông - Nam
Biệt thự,Huyện Hóc Môn,176,3,1,7,,,,2,Have certificate,Basic,,"Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh",5,13,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,50.1,4,3,4.45,,,,5,Have certificate,Full,,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4.1,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 7,56.4,5,4,9.3,,,,4,Have certificate,Full,,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",5.18,6,Nam,Nam
Nhà mặt tiền,Huyện Nhà Bè,80,4,4,7.5,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,9.8,,,,4,Have certificate,Full,,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,10,Tây,Tây
Nhà mặt tiền,Quận Bình Tân,80,5,3,6.8,,,,5,Have certificate,Full,,"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),99.4,2,1,4.7,,,,2,Have certificate,Basic,,"Đường Tam Châu, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",30,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Nhà Bè,86,4,4,8.3,,,,5,Have certificate,Full,,"Hẻm 1368, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh",6.4,7,Bắc,Bắc
Nhà hẻm,Quận Gò Vấp,60,4,4,5.98,,,,5,Have certificate,Full,,"237/, Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",8,8,Nam,Bắc
Nhà hẻm,Quận Tân Phú,56,3,3,5.3,,,,2,Have certificate,Full,,"Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",4,3,Tây - Nam,Nam
Nhà mặt tiền,Quận 7,74,4,4,8.5,,,,6,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4.3,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Tân Phú,68,2,1,5.9,,,,2,Have certificate,Basic,,"Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Nhà Bè,69,5,4,6.2,,,,5,Have certificate,Full,,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,46,4,3,4.45,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4.5,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Bình Thạnh,50,5,4,9.3,,,,6,Have certificate,Full,,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),67.3,5,4,8.3,,,,6,Have certificate,Basic,,"Đường Dương Đình Hội, Phường Phước Long B, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Chung cư,Quận Tân Phú,32,2,3,4.65,,,,2,Have certificate,Full,,"Hẻm 30 Phố Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",4,10,Nam,Nam
Nhà mặt tiền,Quận 8,68,2,2,5,,,,3,Have certificate,Full,,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",5.5,3,Tây,Tây
Nhà hẻm,Quận 7,40,6,5,8.2,,,,7,Have certificate,Full,,"Đường Số 5, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",4,8,Nam,Nam
Nhà mặt tiền,Quận 7,64.6,2,2,6.5,,,,2,Have certificate,Full,,"Đường Số 10, Phường Tân Quy, Quận 7, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà mặt tiền,Quận Gò Vấp,71,4,5,7.35,,,,5,Have certificate,Full,,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",5.5,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 6,54,2,2,5,,,,2,Have certificate,Basic,,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,6.75,,,,4,Have certificate,Full,,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",12,20,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Nhà Bè,70,4,4,8.6,,,,5,Have certificate,Full,,"90, Đường Dương Cát Lợi, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",8,8,Bắc,Bắc
Biệt thự,Quận Bình Thạnh,126.6,8,2,7.7,,,,8,Have certificate,Basic,,"434/8A4, Đường Bình Quới, Phường 28, Quận Bình Thạnh, Hồ Chí Minh",7,1.3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,52.7,3,2,3.45,,,,2,Have certificate,Basic,,"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",3.6,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,54,4,3,4.55,,,,4,Have certificate,Full,,"1/ 113, Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",4,4,Đông,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),75,2,2,3.7,,,,1,Have certificate,Basic,,"Đường 12, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,2.5,Tây,Tây
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),93.7,3,3,7.7,,,,3,Have certificate,Full,,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,72,4,3,6.6,,,,3,Have certificate,Full,,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,12,Đông - Nam,Đông - Nam
Chung cư,Quận 8,29.7,4,2,4.5,,,,3,Have certificate,Basic,,"Đường Ưu Long, Phường 11, Quận 8, Hồ Chí Minh",50,2,Bắc,Bắc
Nhà mặt tiền,Quận 12,66,2,2,3.3,,,,2,Have certificate,Full,,"Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",5,5,Đông,Đông
Nhà mặt tiền,Quận Tân Phú,73,4,3,8.95,,,,3,Have certificate,Full,,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",4.1,12,Bắc,Bắc
Nhà mặt tiền,Quận Gò Vấp,70,4,3,6.3,,,,4,Have certificate,Basic,,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,44,2,2,2.35,,,,2,Have certificate,Basic,,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",5,5,Tây,Tây
Nhà mặt tiền,Quận Bình Tân,64,4,5,6.45,,,,5,Have certificate,Full,,"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Nam,Nam
Nhà mặt tiền,Quận 12,68,4,3,5.85,,,,3,Have certificate,Full,,"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",5,5,Nam,Nam
Nhà mặt tiền,Quận Phú Nhuận,79,4,2,9.5,,,,2,Have certificate,Basic,,"125, Đường Nguyễn Công Hoan, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",3.5,2.5,Tây,Tây
Nhà hẻm,Quận Tân Phú,56,3,2,7.6,,,,3,Have certificate,Full,,"229, Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",5,14,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 7,52,5,3,4.9,,,,5,Have certificate,Basic,,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4.3,3,Bắc,Bắc
Chung cư,Quận 10,30,3,3,5,,,,2,Have certificate,Basic,,"312/3, Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",6,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Tân Phú,60,2,2,2.75,,,,2,Have certificate,Basic,,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",5,5,Nam,Nam
Chung cư,Quận Gò Vấp,39,4,4,6.9,,,,4,Have certificate,Full,,"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4.3,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,47,2,2,4.15,,,,2,Have certificate,Basic,,"650/1A Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4.2,4,Đông,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),82,4,3,6.5,,,,6,Have certificate,Basic,,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Tân Phú,58,2,3,3.7,,,,2,Have certificate,Full,,"Đường Bình Long, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",8,4,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Nhà Bè,83.6,4,3,8.29,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5,7,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 7,68,4,2,5.3,,,,2,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà mặt tiền,Quận 12,72,4,3,4.4,,,,4,Have certificate,Basic,,"Đường 10, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà mặt tiền,Quận Bình Tân,76,6,4,8.6,,,,6,Have certificate,Full,,"473, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận Bình Tân,44,2,2,2.35,,,,2,Have certificate,Basic,,"Đường Nguyễn Triệu Luật, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",5,5,Tây,Tây
Chung cư,Quận Tân Bình,23,1,2,3.68,,,,2,Have certificate,Full,,"Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Hồ Chí Minh",4.9,3,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),62,4,3,7.8,,,,3,Have certificate,Full,,"41/1D, Đường 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,14,Đông - Bắc,Đông - Bắc
Chung cư,Quận 12,37.4,2,2,1.65,,,,2,Have certificate,Full,,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",5,5,Đông,Đông
Chung cư,Quận Gò Vấp,20,1,1,2.05,,,,2,Have certificate,Full,,"Đường Số 27, Phường 6, Quận Gò Vấp, Hồ Chí Minh",5,3,Đông - Bắc,Đông - Bắc
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),128,7,1,8.1,,,,7,Have certificate,Basic,,"Đường Số 7, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,4,Tây - Nam,Tây - Nam
Chung cư,Quận 12,28,3,3,1.72,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Căn, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4,4,Đông,Đông
Nhà mặt tiền,Huyện Nhà Bè,64,4,4,7.5,,,,5,Have certificate,Full,,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",10,10,Đông - Nam,Đông - Nam
