Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address,Giá dự đoán
0,17,142.0,5.0,10.0,Nam,Nam,2,3,2,Have certificate,Basic,7.9,"Đường Cầu Kinh, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",15.373296703296699
3,16,75.0,5.0,10.0,Tây,Tây,3,4,4,Have certificate,Full,9.8,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh.",5.896153846153852
1,19,37.5,8.3,5.0,Tây,Tây,4,3,3,Have certificate,Full,5.99,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh",1.3387912087912088
3,14,98.7,6.0,3.0,Đông - Nam,Đông - Nam,2,7,4,Have certificate,Basic,5.2,"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",6.538791208791206
2,17,60.0,4.2,5.0,Tây,Tây,3,3,3,Have certificate,Basic,5.3,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",1.6996703296703302
2,19,59.0,4.2,4.0,Tây - Bắc,Tây - Bắc,4,4,4,Have certificate,Basic,6.7,"Đường Huỳnh Văn Nghệ, Phường 12, Quận Gò Vấp, Hồ Chí Minh",2.8873626373626373
3,17,72.0,4.0,8.0,Tây,Tây,5,5,6,Have certificate,Full,8.3,"Hẻm 427, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",6.177582417582424
1,20,33.1,3.1,4.0,Đông,Đông,2,2,1,Have certificate,Basic,5.2,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",1.0808791208791213
2,17,40.0,4.0,5.0,Nam,Nam,4,5,6,Have certificate,Full,4.8,"Đường Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",1.4232967032967037
1,18,26.0,3.5,3.5,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.05,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh",0.7459340659340659
3,4,80.0,5.6,6.0,Đông - Bắc,Tây - Nam,3,3,4,Have certificate,Full,7.39,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",3.3951648351648336
3,19,80.0,4.0,6.0,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.45,"Đường Lê Văn Thọ, Phường 8, Quận Gò Vấp, Hồ Chí Minh",9.16549450549451
3,22,66.0,6.0,6.0,Đông - Bắc,Đông - Nam,4,4,4,Have certificate,Full,10.0,"Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",7.2882417582417585
3,8,88.0,8.0,8.0,Tây - Nam,Tây - Nam,3,4,5,Have certificate,Full,7.6,"Đường Tân Thới Nhất 12, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",8.623186813186809
3,22,65.0,4.0,6.0,Đông,Đông,1,4,3,Have certificate,Basic,6.2,"Hẻm 115 Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",4.237582417582418
1,17,25.0,3.0,5.0,Bắc,Bắc,2,2,2,Have certificate,Full,2.4,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",0.6031868131868132
2,19,63.0,4.2,4.0,Nam,Nam,3,4,5,Have certificate,Basic,6.85,"Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh",2.8339560439560443
2,17,50.0,4.0,8.0,Đông,Đông,2,3,2,Have certificate,Full,5.8,"Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",1.19043956043956
3,17,84.0,4.0,12.0,Nam,Nam,2,2,2,Have certificate,Full,9.5,"Đường Số 1A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4.436043956043956
3,17,84.0,4.0,12.0,Bắc,Đông - Bắc,3,3,4,Have certificate,Full,9.3,"Đường Số 25A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",6.20439560439561
3,14,72.0,4.0,8.0,Tây,Tây,2,3,3,Have certificate,Full,6.8,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4.248351648351646
2,23,53.8,4.5,8.0,Đông - Bắc,Đông - Bắc,4,3,3,Have certificate,Full,4.8,"Đường 12, Phường Trường Thạnh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",2.015384615384616
2,18,50.0,5.0,5.0,Đông - Nam,Đông - Nam,4,3,4,Have certificate,Full,9.6,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Hồ Chí Minh",2.282637362637363
2,19,46.0,3.5,5.5,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,4.6,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",1.4162637362637356
2,14,60.0,8.0,8.0,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,5.0,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",2.314285714285714
3,19,80.0,6.0,6.0,Tây - Nam,Tây - Nam,2,3,3,Have certificate,Basic,7.5,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh",5.512197802197802
1,20,29.0,3.5,5.0,Tây - Bắc,Tây - Bắc,4,3,4,Have certificate,Full,7.15,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",0.9800000000000002
2,18,62.0,3.0,8.0,Bắc,Bắc,4,5,4,Have certificate,Basic,7.0,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",3.237912087912087
2,15,43.1,2.99,4.5,Tây - Nam,Tây,2,3,3,Have certificate,Full,4.2,"Hẻm 2889A, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",1.0612087912087904
2,19,60.0,5.0,5.0,Tây - Bắc,Tây - Bắc,4,9,9,Have certificate,Basic,7.3,"1180/, Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",3.1136263736263734
3,23,88.0,4.3,4.0,Nam,Nam,3,4,4,Have certificate,Full,6.9,"Đường Số 4, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6.042747252747251
1,18,25.0,3.5,4.0,Nam,Nam,4,3,4,Have certificate,Full,3.9,"Đường Lê Quang Định, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",0.7715384615384616
2,23,48.0,4.0,2.5,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Basic,3.25,"Đường Ụ Ghe, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",1.4251648351648345
3,22,68.0,4.0,12.0,Đông,Đông,4,4,4,Have certificate,Full,9.7,"Hẻm 370 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",7.263406593406595
2,14,60.0,4.0,3.5,Bắc,Bắc,3,3,3,Have certificate,Full,5.47,"1135, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",1.8221978021978016
2,17,52.0,4.0,6.0,Đông - Nam,Đông - Nam,5,5,4,Have certificate,Basic,5.95,"Đường Lô Tư, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",2.02879120879121
0,23,100.0,5.0,5.0,Tây - Nam,Tây - Nam,3,3,4,Have certificate,Full,7.7,"Đường Số 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",15.290659340659346
2,23,42.4,4.8,6.0,Nam,Nam,1,1,1,Have certificate,Full,4.9,"Đường Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",0.8641758241758248
1,20,18.0,6.0,5.0,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Full,3.3,"Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh",0.5085714285714287
3,17,94.0,4.5,8.0,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,8.7,"Đường Bùi Hữu Diện, Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh",6.088571428571429
3,8,64.0,4.0,8.0,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Basic,6.6,"Dự án Song Minh Residence, Đường Thới An 22, Phường Thới An, Quận 12, Hồ Chí Minh",7.063406593406592
2,21,53.0,4.0,6.0,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Basic,8.9,"Hẻm 83, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh",2.1439560439560457
1,6,30.0,3.5,20.0,Tây - Nam,Nam,3,2,2,Have certificate,Full,8.8,"Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh",1.5510989010989016
2,21,52.0,4.0,5.0,Đông - Nam,Đông - Nam,5,7,6,Have certificate,Full,7.5,"148/9, Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh",2.910439560439561
2,18,48.0,4.0,16.0,Nam,Nam,5,6,4,Have certificate,Full,7.25,"Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",3.124505494505496
3,16,75.0,5.0,12.0,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,7.2,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5.8796703296703345
3,22,64.0,4.0,16.0,Tây,Tây,2,2,3,Have certificate,Full,9.0,"Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4.542307692307694
1,17,35.0,4.0,6.0,Tây,Tây,1,2,2,Have certificate,Basic,1.93,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",0.7606593406593404
2,23,52.0,4.5,8.0,Bắc,Bắc,4,4,3,Have certificate,Basic,7.2,"Đường 7, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",2.1798901098901102
2,23,55.0,4.0,5.0,Bắc,Bắc,5,4,4,Have certificate,Full,9.3,"Đường 17, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",2.3123076923076926
2,14,60.0,4.0,8.0,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,8.6,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",2.314285714285714
0,15,110.0,4.2,3.0,Tây - Bắc,Tây - Bắc,3,4,5,Have certificate,Basic,7.7,"Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh",13.043736263736262
3,19,64.0,5.0,5.0,Đông - Nam,Đông - Nam,3,3,4,Have certificate,Full,7.8,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",6.630879120879123
0,3,176.0,5.0,13.0,Đông - Nam,Đông - Nam,1,3,2,Have certificate,Basic,7.0,"Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh",4.981318681318678
2,8,50.1,4.1,6.0,Đông - Nam,Đông - Nam,3,4,5,Have certificate,Full,4.45,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",1.9405714285714275
2,14,56.4,5.18,6.0,Nam,Nam,4,5,4,Have certificate,Full,9.3,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",2.1048351648351664
3,4,80.0,5.0,6.0,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Full,7.5,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",3.4806593406593396
3,16,75.0,5.0,10.0,Tây,Tây,3,4,4,Have certificate,Full,9.8,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5.896153846153852
3,17,80.0,4.0,6.0,Bắc,Bắc,3,5,5,Have certificate,Full,6.8,"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",6.864395604395606
3,23,99.4,30.0,5.0,Đông - Nam,Đông - Nam,1,2,2,Have certificate,Basic,4.7,"Đường Tam Châu, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.366593406593404
3,4,86.0,6.4,7.0,Bắc,Bắc,4,4,5,Have certificate,Full,8.3,"Hẻm 1368, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh",4.085274725274724
2,19,60.0,8.0,8.0,Nam,Bắc,4,4,5,Have certificate,Full,5.98,"237/, Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",2.890879120879121
2,22,56.0,4.0,3.0,Tây - Nam,Nam,3,3,2,Have certificate,Full,5.3,"Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",2.0283516483516486
3,14,74.0,4.3,6.0,Đông - Bắc,Đông - Bắc,4,4,6,Have certificate,Full,8.5,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",6.2983516483516535
3,22,68.0,4.0,6.0,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Basic,5.9,"Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4.427582417582415
3,4,69.0,4.0,6.0,Đông - Bắc,Đông - Bắc,4,5,5,Have certificate,Full,6.2,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",3.398351648351647
2,8,46.0,4.5,5.0,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,4.45,"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",1.8166703296703297
2,18,50.0,4.0,6.0,Tây - Bắc,Tây - Bắc,4,5,6,Have certificate,Full,9.3,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",2.7394505494505514
3,23,67.3,4.0,8.0,Đông - Bắc,Đông - Bắc,4,5,6,Have certificate,Basic,8.3,"Đường Dương Đình Hội, Phường Phước Long B, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6.5150549450549455
1,22,32.0,4.0,10.0,Nam,Nam,3,2,2,Have certificate,Full,4.65,"Hẻm 30 Phố Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",0.9835164835164832
3,15,68.0,5.5,3.0,Tây,Tây,2,2,3,Have certificate,Full,5.0,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",3.788131868131867
2,14,40.0,4.0,8.0,Nam,Nam,5,6,7,Have certificate,Full,8.2,"Đường Số 5, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",1.6272527472527467
3,14,64.6,4.0,4.0,Bắc,Bắc,2,2,2,Have certificate,Full,6.5,"Đường Số 10, Phường Tân Quy, Quận 7, Hồ Chí Minh",3.367692307692306
3,19,71.0,5.5,5.0,Đông - Nam,Đông - Nam,5,4,5,Have certificate,Full,7.35,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",7.625384615384619
2,13,54.0,4.0,4.0,Bắc,Bắc,2,2,2,Have certificate,Basic,5.0,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",1.295494505494505
3,16,75.0,12.0,20.0,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,6.75,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5.896153846153852
3,4,70.0,8.0,8.0,Bắc,Bắc,4,4,5,Have certificate,Full,8.6,"90, Đường Dương Cát Lợi, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",3.1825274725274704
0,18,126.6,7.0,1.3,Đông - Nam,Đông - Nam,2,8,8,Have certificate,Basic,7.7,"434/8A4, Đường Bình Quới, Phường 28, Quận Bình Thạnh, Hồ Chí Minh",19.240183150183135
2,8,52.7,3.6,5.0,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Basic,3.45,"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",2.0307142857142857
2,8,54.0,4.0,4.0,Đông,Đông,3,4,4,Have certificate,Full,4.55,"1/ 113, Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",1.9256263736263717
3,23,75.0,5.0,2.5,Tây,Tây,2,2,1,Have certificate,Basic,3.7,"Đường 12, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.087582417582415
3,23,93.7,4.0,6.0,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,7.7,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6.1807692307692275
3,19,72.0,4.0,12.0,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Full,6.6,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",7.418131868131869
1,15,29.7,50.0,2.0,Bắc,Bắc,2,4,3,Have certificate,Basic,4.5,"Đường Ưu Long, Phường 11, Quận 8, Hồ Chí Minh",0.8854945054945051
3,8,66.0,5.0,5.0,Đông,Đông,2,2,2,Have certificate,Full,3.3,"Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4.922307692307692
3,22,73.0,4.1,12.0,Bắc,Bắc,3,4,3,Have certificate,Full,8.95,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",6.39241758241758
3,19,70.0,4.0,6.0,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Basic,6.3,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",7.358351648351652
2,17,44.0,5.0,5.0,Tây,Tây,2,2,2,Have certificate,Basic,2.35,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",1.0249450549450547
3,17,64.0,4.0,6.0,Nam,Nam,5,4,5,Have certificate,Full,6.45,"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",6.390549450549456
3,8,68.0,5.0,5.0,Nam,Nam,3,4,3,Have certificate,Full,5.85,"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",7.396923076923073
3,20,79.0,3.5,2.5,Tây,Tây,2,4,2,Have certificate,Basic,9.5,"125, Đường Nguyễn Công Hoan, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",6.40945054945055
2,22,56.0,5.0,14.0,Tây - Nam,Tây - Nam,2,3,3,Have certificate,Full,7.6,"229, Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",1.6885714285714282
2,14,52.0,4.3,3.0,Bắc,Bắc,3,5,5,Have certificate,Basic,4.9,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",1.7352747252747256
1,6,30.0,6.0,6.0,Đông - Bắc,Đông - Bắc,3,3,2,Have certificate,Basic,5.0,"312/3, Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",1.7719780219780226
2,22,60.0,5.0,5.0,Nam,Nam,2,2,2,Have certificate,Basic,2.75,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",1.61054945054945
1,19,39.0,4.3,5.0,Đông - Nam,Đông - Nam,4,4,4,Have certificate,Full,6.9,"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh",1.39989010989011
2,17,47.0,4.2,4.0,Đông,Đông,2,2,2,Have certificate,Basic,4.15,"650/1A Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",1.12032967032967
3,23,82.0,6.0,6.0,Đông - Bắc,Đông - Bắc,3,4,6,Have certificate,Basic,6.5,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.9714285714285715
2,22,58.0,8.0,4.0,Đông - Nam,Đông - Nam,3,2,2,Have certificate,Full,3.7,"Đường Bình Long, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",1.9167032967032966
3,4,83.6,5.0,7.0,Tây - Nam,Tây - Nam,3,4,5,Have certificate,Full,8.29,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",3.9090109890109876
3,14,68.0,4.0,4.0,Bắc,Bắc,2,4,2,Have certificate,Full,5.3,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",3.937472527472527
3,8,72.0,4.0,6.0,Bắc,Bắc,3,4,4,Have certificate,Basic,4.4,"Đường 10, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",7.2850549450549416
3,17,76.0,4.0,8.0,Tây,Tây,4,6,6,Have certificate,Full,8.6,"473, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",6.43802197802198
2,17,44.0,5.0,5.0,Tây,Tây,2,2,2,Have certificate,Basic,2.35,"Đường Nguyễn Triệu Luật, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",1.0249450549450547
1,21,23.0,4.9,3.0,Tây - Bắc,Tây - Bắc,2,1,2,Have certificate,Full,3.68,"Đường Bùi Thị Xuân, Phường 3, Quận Tân Bình, Hồ Chí Minh",0.6799999999999999
2,23,62.0,5.0,14.0,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Full,7.8,"41/1D, Đường 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",2.242197802197801
1,8,37.4,5.0,5.0,Đông,Đông,2,2,2,Have certificate,Full,1.65,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",0.6549450549450553
1,19,20.0,5.0,3.0,Đông - Bắc,Đông - Bắc,1,1,2,Have certificate,Full,2.05,"Đường Số 27, Phường 6, Quận Gò Vấp, Hồ Chí Minh",0.37054945054945054
0,23,128.0,5.0,4.0,Tây - Nam,Tây - Nam,1,7,7,Have certificate,Basic,8.1,"Đường Số 7, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",15.11750915750915
1,8,28.0,4.0,4.0,Đông,Đông,3,3,3,Have certificate,Full,1.72,"Đường Nguyễn Thị Căn, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",0.7376923076923078
3,4,64.0,10.0,10.0,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.5,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",2.727252747252746
2,22,58.0,42.0,3.0,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,4.5,"Hẻm 74, Đường Tân Kỳ Tân Quý, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",1.7682417582417582
2,8,51.3,4.0,60.0,Tây - Bắc,Tây - Bắc,3,3,3,Have certificate,Full,3.68,"Đường Quốc lộ 1A, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",1.9413736263736256
3,14,64.8,3.6,2.5,Nam,Nam,3,3,3,Have certificate,Basic,6.2,"Đường Số 77, Phường Tân Quy, Quận 7, Hồ Chí Minh",5.8606593406593435
2,21,59.0,8.0,8.0,Tây,Tây,5,6,6,Have certificate,Full,9.2,"Hẻm 730, Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Hồ Chí Minh",3.3795604395604375
1,8,21.7,3.1,4.0,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Basic,1.78,"Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Hồ Chí Minh",0.888901098901099
3,16,86.4,4.0,14.0,Đông - Bắc,Đông - Bắc,1,1,1,Have certificate,Basic,7.4,"Đường 10, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",2.84
2,18,60.0,8.0,10.0,Đông,Đông,3,4,4,Have certificate,Basic,9.9,"138, Phố Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh",2.5754945054945058
3,16,65.0,4.5,2.5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.99,"Đường Quang Trung, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",3.258351648351647
